SA,PoreV,Id/Ig,C,O,N,'Potential V',Current,Electrolyte,predictedCap,Cap
520,1.5,0.81,90.1,9.9,0,1,0.5,6,152.065,142
1083,0.628,1.07,92.39,5.72,1.9,1,10,6,185.09886,161.0625
870,0.53,0.96,64.54,33.12,0.51,1,0.5,6,260.587367,362
520,1.5,0.84,90,10,0,1,2,6,128.3,121
867,0.51,0.87,86.65,12.71,0.64,1,20,6,261.399136,300
1417,1.56,1.01,87.89,10.13,1.99,1.2,4,6,234.257455,156
786.15,0.439,0.77,90.97,6.22,0,1,20,6,217.530151,170
81.7,0.11,0.85,87.2,10,0,2.4,0,6,294.364524,280
520,1.5,0.84,90,10,0,1,5,6,124.076944,113
520,1.5,0.88,90,10,0,1,1,6,155.184833,158
520,1.5,0.84,90,10,0,1,20,6,113.981444,108
1382,3,1.7,60,35,0,3.5,1.33,6,65.712654,10
123.78,1.25,0.57,97.28,2.71,0,1,0,6,95.053959,145
2487,1.28,0.82,88.74,10.46,0.8,1,1,6,316.974888,286
1612,1.13,1.11,77.2,16.1,6.7,1,1,6,253.090944,508
81.7,0.11,0.85,87.2,10,0,2.4,0,6,288.822159,300
494.7,0.64,0.95,77.41,22.59,0,1,0.5,6,144.499455,192
520,1.5,0.88,90,10,0,1,0.5,6,155.129667,179
301,1.5,1.25,93.77,3.67,0,1,0.1,6,84.809185,34.6
585.28,0.48,0.934,90.39,4.73,4.33,1,10,6,180.098594,110.08
1438,0.82,0.91,82.5,11.9,0.6,1.2,1,1,253.769994,248
877.8,0.49,0.988,85.64,5.34,8.52,1,10,6,216.795807,149.9906
950,0.87,1.098,93.99,4.44,0.88,1,3,6,76.127491,76.38
2704,1.333,0.95,80.8,19.2,0,0.9,0.25,6,118.739186,88.7
1754,2.81,0.84,90,5,0,0.9,0.5,6,193.608594,303
1435,0.664,0.94,89.1,10.9,0,0.9,0.1,6,123.487994,122.6
305.1,2.5,1.73,95.23,4.81,0,1,1,6,128.965805,89
1733,0.86,1.38,79.38,18.98,1.64,0.9,3,6,275.573433,282
1732,0.97,0.62,86.55,13.45,0,1,2,6,162.733225,148.6
512,0.28,1.010101,86.944,4.571,0.578,1,1,6,123.889192,87.6
805.58,0.68,1.51,82.42,9.24,8.34,1,100,6,150.978993,190
1132,0.579,0.95,82.4,17.6,0,0.9,0.1,6,113.255236,70.2
1369,0.637,0.94,87.3,12.7,0,0.9,0.1,6,122.337619,106.2
1733,0.86,1.38,79.38,18.98,1.64,0.9,7,6,256.1501,233
3325.6,2.372,1.04,94.26,5.05,0.69,1,2,6,358.819271,354.4
375,0.03,1.52,62.5,37.5,0,1.8,0.5,6,237.350567,122.6
2488,1.14,0.79,93.84,5.34,0.83,1,1,6,352.213472,379
374,0.18,0.83,85.7,5.19,9.92,1.6,10,6,217.77439,153
2670.8,1.41,1.08,81.5,18.5,0,1,7,6,269.049833,261.2
1813,1.05,0.93,67.54,31.06,0.44,1,20,6,278.359936,325
520,1.5,0.88,90,10,0,1,50,6,122.707467,125
3550.7,2.168,0.97,92.4,5.2,1.5,1,40,6,271.69831,244
2297,0.97,0.79,90.22,9.11,0.68,1,20,6,260.988197,260
1947,1.33,0.93,94.4,4.9,0.65,1,10,6,255.25577,300
374,0.18,0.83,85.7,5.19,9.92,1.6,0.5,6,194.119783,250
1847.5,1.44,0.85,95.2,4.6,0.2,1,0.2,6,250.473687,260.3
520,1.5,0.84,90.1,9.9,0,1,0.5,6,142.789367,160
460,0.2,0.1,88.1,11.82,0,1,10,6,187.161583,190
520,1.5,0.84,90.1,9.9,0,1,10,6,114.893387,116
974.6,0.69,0.95,80.95,9.93,9.12,1,20,6,240.460328,177
1953,0.981,0.96,85.2,14.8,0,0.9,0.1,6,107.973633,91.7
1742,0.79,0.88,92.7,6.3,1,1,0.5,6,275.946525,266
2488,1.14,0.79,93.84,5.34,0.83,1,20,6,276.002143,298
195,0.66,0.99,97.06,2.94,0,1,5,6,53.991255,0.84
943,0.44,1.15,74.62,23.32,2.06,0.9,1,6,298.385763,232
2738.6,1.452,0.98,87.51,11.41,1.08,1,10,6,274.328549,236
374,0.18,0.83,85.7,5.19,9.92,1.6,10,1,202.688313,193
520,1.5,0.84,90,10,0,1,1,6,142.561,129
1732,0.97,0.62,86.55,13.45,0,1,10,6,131.909054,118.1
171.82,0.0071,0.93,89.74,8.5,1.76,1,1,6,208.734058,3.34
1733,0.86,1.38,79.38,18.98,1.64,0.9,20,6,204.420096,202
1264,0.56,1.01,75.3,15.5,9.2,1.2,1,1,289.94822,236
805.58,0.68,1.51,82.42,9.24,8.34,1,5,6,260.048078,270
974.6,0.69,0.95,80.95,9.93,9.12,1,0.5,6,283.940257,245
629.62,0.27,1.098,80.27,8.01,11.72,1,10,6,182.053785,167.7195
1947,1.33,0.93,94.4,4.9,0.65,1,1,6,290.960189,470
1732,0.97,0.62,86.55,13.45,0,1,5,6,136.378276,127
520,1.5,0.84,90.1,9.9,0,1,2,6,127.408472,128
171.56,0.68,0.5,90.7,6.4,2.9,1,1,6,195.544108,270
592,1.5,0.93,90,10,0,1,0.1,6,266.334452,211
3550.7,2.168,0.97,92.4,5.2,1.5,1,6,6,286.429667,308
1987,1.047,2.62,83.22,14.15,2.47,0.8,0.1,6,111.9826,105.4
321.2,0.23,0.4,59.7,31.47,8.83,1,0.5,6,255.520264,95
3550.7,2.168,0.97,92.4,5.2,1.5,1,1,6,340.559162,373
1684,1.57,1.008,94.42,4.43,1.15,1.2,1,6,213.262967,224
2533,1.23,0.79,90.39,8.64,0.97,1,1,6,321.139,347
2718,1.503,0.96,80.8,18.1,1.1,1,1,6,310.907753,309.6
3550.7,2.168,0.97,92.4,5.2,1.5,1,4,6,309.156512,314
267,0.06,1.52,71.94,28.06,0,1.8,0.5,6,228.072733,145
844.82,0.48,1.147,82.77,7.11,9.52,1,1,6,268.399652,331.8
3265,1.535,0.95,84.2,15.8,0,0.9,0.25,6,138.636433,104.3
520,1.5,0.81,90.1,9.9,0,1,10,6,113.775868,105
592,1.5,0.93,90,10,0,1,10,6,174.536222,197
1733,0.86,1.38,79.38,18.98,1.64,0.9,50,6,196.268936,183.008
1708,0.62,0.84,86.1,11.5,0.5,1,0.5,6,239.27945,239
1937,0.72,0.91,91,8.3,0.2,1,0.5,6,273.1099,245
81.7,0.11,0.85,87.2,10,0,2.4,0.25,6,277.309672,339
678.6,0.49,1.05,88.44,9.3,2.27,1,10,6,163.553489,133.042
445.8,0.24,0.96,68.58,22.43,8.99,1,0.5,6,241.432864,206
1249,1.02,0.82,89.9,8.5,1.6,1,0.2,6,266.509272,211.6
2502,1.7,0.94,84.5,9.2,6.3,1,5,6,279.259998,298
2283,1.51,0.83,89.3,9.4,1.3,1,1,6,303.603644,370
796,0.68,1.098901,94.971,1.105,0,1,1,6,104.365327,105
520,1.5,0.84,90,10,0,1,50,6,111.844845,100
3550.7,2.168,0.97,92.4,5.2,1.5,1,15,6,275.994877,279
520,1.5,0.84,90.1,9.9,0,1,1,6,135.111631,139
1349,0.9,0.91,82.5,8.5,9,1,50,6,227.297917,188
121,0.39,0.89,95.55,2.71,0,1,5,6,98.977212,11.5
267,0.02,1.52,76.94,23.06,0,1.8,1,6,176.139562,276
805.58,0.68,1.51,82.42,9.24,8.34,1,50,6,225.105923,175
1554,0.94,2.35,83.67,15.24,1.09,0.9,1,6,163.012716,204
2536,1.177,1.01,86.2,13.8,0,0.9,0.1,6,119.861273,162.3
748,0.41,0.84,88.53,10.05,1.42,1,20,6,223.90008,268
1132,0.579,0.95,82.4,17.6,0,0.9,0.25,6,110.06235,67.9
93.4,0.5,0.92,80,10,0,1.1,1,6,188.793967,43.5
2536,1.177,1.01,86.2,13.8,0,0.9,0.25,6,118.895473,137.8
2312,1.2,0.98,94.1,4.5,1.4,1,0.5,6,315.196779,355
1749,0.924,1.08,89.1,9.53,1.37,1,10,6,221.472591,197.7216
805.58,0.68,1.51,82.42,9.24,8.34,1,100,6,205.485923,120
3550.7,2.168,0.97,92.4,5.2,1.5,1,2,6,339.163995,335
512,0.28,1.010101,86.944,4.571,0.578,1,0.5,6,124.567502,90.4
1435,0.664,0.94,89.1,10.9,0,0.9,0.25,6,136.535573,111.5
1083,0.628,1.07,92.39,5.72,1.9,1,0.5,6,209.611964,187.5
2487,1.28,0.82,88.74,10.46,0.8,1,20,6,259.426833,232
1754,0.888,2.74,85.07,12.04,2.18,0.8,10,6,93.939801,23.375
1369,0.637,0.94,87.3,12.7,0,0.9,0.25,6,121.952906,95
2502,1.7,0.94,84.5,9.2,6.3,1,0.1,6,281.032833,341
2502,1.7,0.94,84.5,9.2,6.3,1,50,6,256.236305,244
374,0.18,0.83,85.7,5.19,9.92,1.6,10,1,179.47326,235
1733,0.86,1.38,79.38,18.98,1.64,0.9,10,6,239.884667,211
555.32,0.15,1.017,94.18,4.02,1.45,1,1,6,133.352131,150.1
2864,1.6,0.91,77.96,21.34,0.18,1,0.5,6,267.932817,338
311.05,1.25,0.47,95.24,0.35,0,1,0,6,134.098419,170
533,0.28,1.020408,86.521,4.325,0.43,1,0.5,6,118.33793,126.4
786.15,0.439,0.77,90.97,6.22,0,1,1,6,230.0395,260
1002.6,0.62,1.07,0,8.76,5.04,0.8,0.5,6,208.479329,440
585.28,0.48,0.934,90.39,4.73,4.33,1,1,6,150.958293,172
950,0.87,1.098,93.99,4.44,0.88,1,20,6,81.95682,67.23
533,0.28,1.020408,86.521,4.325,0.43,1,1,6,115.88413,122.5
1271,1,1.05,88.06,9.08,2.86,1,0.5,6,218.018675,239
814,0.49,0.92,82.09,17.13,0.78,1,20,6,290.550454,280
592,1.5,0.93,90,10,0,1,1,6,185.108238,175
3325.6,2.372,1.04,94.26,5.05,0.69,1,0.5,6,364.957628,409.7
342,1.59,1.22,97.67,1.8,0.54,1,0.1,6,69.731835,10.6
168,0.6,1.07,96.23,1,0.79,1,5,6,94.433356,8.68
1732,0.97,0.62,86.55,13.45,0,1,1,6,155.019211,171.4
928,0.53,0.83,83.86,14.63,1.51,1,1,6,274.779473,312
342,1.59,1.22,97.67,1.8,0.54,1,5,6,60.770491,4.4
678.6,0.49,1.05,88.44,9.3,2.27,1,0.5,6,183.268684,150.5
592,1.5,0.93,90,10,0,1,0.5,6,189.542238,350
45.2,0.7,1.73,78.26,21.74,0,1,1,6,212.607821,150
1732,0.97,0.62,86.55,13.45,0,1,0.5,6,162.867949,222
3550.7,2.168,0.97,92.4,5.2,1.5,1,20,6,279.164333,272
787,0.9,1.15,96.5,3.5,0,1,0,6,122.211904,171
1754,0.888,2.74,85.07,12.04,2.18,0.8,0.1,6,91.572936,42.5
3977.3,2.215,1.02,93.43,5.73,0.84,1,10,6,302.254458,268
2143,0.94,0.87,90.5,8.4,0.3,1,0.5,6,287.965768,276
222,0.81,1.11,97.56,2.08,0.36,1,5,6,59.67362,3.1
