SA,PoreV,Id/Ig,C,O,N,'Potential V',Current,Electrolyte,predictedCap,Cap
1435,0.664,0.94,89.1,10.9,0,0.9,0.1,6,123.819317,122.6
3265,1.535,0.95,84.2,15.8,0,0.9,0.1,6,115.772387,113.7
1132,0.579,0.95,82.4,17.6,0,0.9,0.25,6,86.041167,67.9
1369,0.637,0.94,87.3,12.7,0,0.9,0.25,6,98.70815,95
2704,1.333,0.95,80.8,19.2,0,0.9,0.25,6,105.414133,88.7
2536,1.177,1.01,86.2,13.8,0,0.9,0.25,6,140.311117,137.8
1953,0.981,0.96,85.2,14.8,0,0.9,0.25,6,98.40313,85.3
1435,0.664,0.94,89.1,10.9,0,0.9,0.25,6,117.700817,111.5
3265,1.535,0.95,84.2,15.8,0,0.9,0.25,6,110.209303,104.3
1705,0.92,0.85,76.6,23.4,0,0.9,0.05,6,106.968917,102
1705,0.92,0.85,76.6,23.4,0,0.9,0.5,6,99.250617,75
2738.6,1.452,0.98,87.51,11.41,1.08,1,2,6,292.748417,286
3977.3,2.215,1.02,93.43,5.73,0.84,1,2,6,328.0626,321.4
3325.6,2.372,1.04,94.26,5.05,0.69,1,2,6,355.391857,354.4
2738.6,1.452,0.98,87.51,11.41,1.08,1,10,6,248.830833,236
2738.6,1.452,0.98,87.51,11.41,1.08,1,0.5,6,315.746667,327.5
3977.3,2.215,1.02,93.43,5.73,0.84,1,10,6,277.601767,268
3977.3,2.215,1.02,93.43,5.73,0.84,1,0.5,6,365.066235,379.7
3325.6,2.372,1.04,94.26,5.05,0.69,1,10,6,298.488767,297
3325.6,2.372,1.04,94.26,5.05,0.69,1,0.5,6,391.191607,409.7
2670.8,1.41,1.08,81.5,18.5,0,1,1,6,312.61905,346.1
2670.8,1.41,1.08,81.5,18.5,0,1,3,6,285.51625,290.5
2670.8,1.41,1.08,81.5,18.5,0,1,5,6,268.770417,268
2670.8,1.41,1.08,81.5,18.5,0,1,7,6,263.39,261.2
2670.8,1.41,1.08,81.5,18.5,0,1,10,6,255.176667,253
2670.8,1.41,1.08,81.5,18.5,0,1,20,6,245.657,242
2670.8,1.41,1.08,81.5,18.5,0,1,50,6,224.496667,214.5
2033,0.98,0.99,93.6,5.6,0.8,1,0.5,6,359.687462,374
2312,1.2,0.98,94.1,4.5,1.4,1,0.5,6,334.346593,355
1742,0.79,0.88,92.7,6.3,1,1,0.5,6,269.6497,266
2312,1.2,0.98,94.1,4.5,1.4,1,50,6,243.472633,230
928,0.53,0.83,83.86,14.63,1.51,1,1,6,302.0269,312
867,0.51,0.87,86.65,12.71,0.64,1,1,6,335.427,356
814,0.49,0.92,82.09,17.13,0.78,1,1,6,324.810667,344
928,0.53,0.83,83.86,14.63,1.51,1,20,6,260.469123,252
867,0.51,0.87,86.65,12.71,0.64,1,20,6,290.371023,300
814,0.49,0.92,82.09,17.13,0.78,1,20,6,279.3107,280
748,0.41,0.84,88.53,10.05,1.42,1,1,6,296.316483,323
748,0.41,0.84,88.53,10.05,1.42,1,20,6,257.411359,268
1754,0.888,2.74,85.07,12.04,2.18,0.8,0.1,6,60.86235,42.5
1987,1.047,2.62,83.22,14.15,2.47,0.8,0.1,6,120.330107,105.4
1824,0.978,2.68,83.99,13.08,2.17,0.8,0.1,6,95.901038,83.4
1754,0.888,2.74,85.07,12.04,2.18,0.8,10,6,43.080574,23.375
1987,1.047,2.62,83.22,14.15,2.47,0.8,10,6,113.318707,94.86
1824,0.978,2.68,83.99,13.08,2.17,0.8,10,6,76.6413,66.72
801,0.9,1.15,89.9,10.1,0,1,0.1,6,80.60895,41.5
801,0.9,1.15,89.9,10.1,0,1,20,6,45.894615,12.1
801,0.9,1.15,89.9,10.1,0,1,0,6,160.75595,218
787,0.9,1.15,96.5,3.5,0,1,0,6,138.798286,171
321.2,0.23,0.4,59.7,31.47,8.83,1,0.5,6,155.927348,95
343,1.6,1.38,98.47,1.54,0,1,0.1,6,5.905758,2.59
301,1.5,1.25,93.77,3.67,0,1,0.1,6,44.17544,34.6
342,1.59,1.22,97.67,1.8,0.54,1,0.1,6,10.616749,10.6
341,1.34,1.03,93.74,2.85,1.02,1,0.1,6,45.730554,29.6
343,1.6,1.38,98.47,1.54,0,1,5,6,3.755984,2.07
301,1.5,1.25,93.77,3.67,0,1,5,6,31.609917,27.71
342,1.59,1.22,97.67,1.8,0.54,1,5,6,8.543283,4.4
341,1.34,1.03,93.74,2.85,1.02,1,5,6,37.526944,23.74
195,0.66,0.99,97.06,2.94,0,1,5,6,30.772003,0.84
121,0.39,0.89,95.55,2.71,0,1,5,6,45.935973,11.5
222,0.81,1.11,97.56,2.08,0.36,1,5,6,23.834583,3.1
168,0.6,1.07,96.23,1,0.79,1,5,6,38.167148,8.68
406,0.2,0.03,69.3,30.74,0,1,0.1,6,253.659,272
406,0.2,0.11,88.1,11.82,0,1,1,6,199.685024,187
406,0.2,0.86,88.1,11.82,0,1,5,6,170.530357,165
406,0.2,0.09,88.1,11.82,0,1,10,6,159.506277,140
460,0.2,0.1,88.1,11.82,0,1,0.1,6,272.371833,324
460,0.2,0.1,88.1,11.82,0,1,10,6,194.45311,190
45.2,0.7,1.73,78.26,21.74,0,1,1,6,177.851917,150
305.1,2.5,1.73,95.23,4.81,0,1,1,6,94.83155,89
124.5,1.1,1.12,89.89,10.1,0,1,1,6,111.954533,112
427.3,2.8,0.81,91.73,8.19,0,1,1,6,164.462333,143
1218.5,5.3,0.64,95.71,3.95,0,1,1,6,232.215433,291
1754,2.81,0.84,90,5,0,0.9,0.5,6,265.434481,303
123.78,1.25,0.57,97.28,2.71,0,1,0,6,131.769468,145
311.05,1.25,0.47,95.24,0.35,0,1,0,6,164.148571,170
128.54,1.25,0.28,95.24,0.35,0,1,0,6,146.707405,143
375,0.03,1.52,62.5,37.5,0,1.8,0.5,6,148.718733,122.6
20,0.021,1.52,63.69,36.31,0,1.8,0.2,6,261.4205,234
20,0.021,1.52,68.5,31.51,0,1.8,0.5,6,329.897,388
267,0.06,1.52,71.94,28.06,0,1.8,0.5,6,172.9134,145
267,0.02,1.52,76.94,23.06,0,1.8,1,6,244.498567,276
677.5,0.62,1.11,94.69,3.16,2.15,0.8,150,6,148.805523,180
1002.6,0.62,1.07,0,8.76,5.04,0.8,0.5,6,350.107283,440
102.6,0.88,1.1,87.7,6.8,5.5,1,1,6,178.166594,150
423.2,1.52,1.1,84.5,9.6,5.9,1,1,6,330.318272,378
290.5,0.92,1.1,82.2,11.5,6.3,1,1,6,264.276776,267
190.38,0.88,1,85.5,11.3,3.2,1,20,6,245.198135,290
171.56,0.68,0.5,90.7,6.4,2.9,1,1,6,236.222179,270
1349,0.9,0.91,82.5,8.5,9,1,0.1,6,297.024233,335
1349,0.9,0.91,82.5,8.5,9,1,30,6,222.929393,220
1349,0.9,0.91,82.5,8.5,9,1,50,6,208.161233,188
2502,1.7,0.94,84.5,9.2,6.3,1,0.1,6,326.003462,341
2502,1.7,0.94,84.5,9.2,6.3,1,5,6,298.458521,298
2502,1.7,0.94,84.5,9.2,6.3,1,50,6,252.62381,244
81.7,0.11,0.85,87.2,10,0,2.4,0.25,6,322.543381,339
81.7,0.11,0.85,87.2,10,0,2.4,0,6,291.114813,341
81.7,0.11,0.85,87.2,10,0,2.4,0,6,291.114813,324
81.7,0.11,0.85,87.2,10,0,2.4,0,6,291.114813,300
81.7,0.11,0.85,87.2,10,0,2.4,0,6,291.114813,280
81.7,0.11,0.85,87.2,10,0,2.4,0,6,291.114813,265
81.7,0.11,0.85,87.2,10,0,2.4,0,6,291.114813,234
165,1.4,0.88,80,10,3.77,1.1,1,6,243.799767,243.5
93.4,0.5,0.92,80,10,0,1.1,1,6,106.32149,43.5
229,0.6,0.78,80,10,0,1.1,1,6,87.72945,67.9
1382,3,1.7,60,35,0,3.5,1.33,6,21.983133,10
1556,3,1.7,60,35,0,3.5,1.22,6,36.603633,19.5
707,3,1.7,60,35,0,3.5,1.24,6,34.20474,22
374,0.18,0.83,85.7,5.19,9.92,1.6,0.5,6,229.399263,250
374,0.18,0.83,85.7,5.19,9.92,1.6,10,6,178.901313,153
374,0.18,0.83,85.7,5.19,9.92,1.6,10,1,210.933277,235
374,0.18,0.83,85.7,5.19,9.92,1.6,10,1,210.933277,193
1602,2.98,0.95,85.7,5.19,6.43,1.6,1,6,229.0035,212
520,1.5,0.81,90.1,9.9,0,1,0.5,6,142.855833,142
520,1.5,0.81,90.1,9.9,0,1,1,6,130.11506,127
520,1.5,0.81,90.1,9.9,0,1,2,6,123.79506,122
520,1.5,0.81,90.1,9.9,0,1,5,6,115.012169,113
520,1.5,0.81,90.1,9.9,0,1,10,6,107.35505,105
520,1.5,0.81,90.1,9.9,0,1,20,6,104.963812,104
520,1.5,0.81,90.1,9.9,0,1,50,6,103.124357,100
520,1.5,0.84,90,10,0,1,0.5,6,147.548333,142
520,1.5,0.84,90,10,0,1,1,6,132.965,129
520,1.5,0.84,90,10,0,1,2,6,123.992,121
520,1.5,0.84,90,10,0,1,5,6,115.490962,113
520,1.5,0.84,90,10,0,1,10,6,112.485796,110
520,1.5,0.84,90,10,0,1,20,6,111.331486,108
520,1.5,0.84,90,10,0,1,50,6,105.115032,100
520,1.5,0.84,90.1,9.9,0,1,0.5,6,150.696667,160
520,1.5,0.84,90.1,9.9,0,1,1,6,137.771012,139
520,1.5,0.84,90.1,9.9,0,1,2,6,126.344345,128
520,1.5,0.84,90.1,9.9,0,1,5,6,118.832193,120
520,1.5,0.84,90.1,9.9,0,1,10,6,115.09851,116
520,1.5,0.84,90.1,9.9,0,1,20,6,112.634034,114
520,1.5,0.84,90.1,9.9,0,1,50,6,109.672912,110
520,1.5,0.88,90,10,0,1,0.5,6,170.921667,179
520,1.5,0.88,90,10,0,1,1,6,155.0625,158
520,1.5,0.88,90,10,0,1,2,6,144.5145,147
520,1.5,0.88,90,10,0,1,5,6,139.445,138
520,1.5,0.88,90,10,0,1,10,6,133.172167,133
520,1.5,0.88,90,10,0,1,20,6,128.1675,128
520,1.5,0.88,90,10,0,1,50,6,125.025833,125
592,1.5,0.93,90,10,0,1,0.1,6,229.315583,211
592,1.5,0.93,90,10,0,1,0.5,6,282.422417,350
592,1.5,0.93,90,10,0,1,1,6,204.560524,175
592,1.5,0.93,90,10,0,1,2,6,185.23219,172
592,1.5,0.93,90,10,0,1,5,6,174.10719,170
592,1.5,0.93,90,10,0,1,10,6,190.034917,197
592,1.5,0.93,90,10,0,1,20,6,184.879988,185
592,1.5,0.93,90,10,0,1,50,6,178.340488,177
