SA,PoreV,Id/Ig,C,'Potential V',Current,Electrolyte,predictedCap,Cap
128.54,1.25,0.28,95.24,1,0,6,143,143
8.6,0.03,1.52,62.5,1,50,6,270,270
7.24,0.02,1.52,63.69,1,50,6,353,353
12.86,0.04,1.52,68.5,1,50,6,280,280
15.79,0.06,1.52,71.94,1,50,6,170,170
6.24,0.02,1.52,76.94,1,50,6,276,276
677.5,0.62,1.11,94.68,1,0,6,200,200
102.6,0.88,1.1,87.7,1,1,6,160,160
423.2,1.52,1.1,84.5,1,1,6,378,378
290.5,0.92,1.1,82.2,1,1,6,270,270
190.38,0.88,1,85.5,1,0,6,290,290
171.56,0.68,0.5,90.7,1,0,6,270,270
505,1,0.85,95.7,1,0,6,150,150
81.7,0.11,0.85,87.2,2.4,0,6,290.666667,341
81.7,0.11,0.85,87.2,2.4,0,6,290.666667,324
81.7,0.11,0.85,87.2,2.4,0,6,290.666667,300
81.7,0.11,0.85,87.2,2.4,0,6,290.666667,280
81.7,0.11,0.85,87.2,2.4,0,6,290.666667,265
81.7,0.11,0.85,87.2,2.4,0,6,290.666667,234
165,1.4,0.88,80,1.1,1,6,245.75,243.5
93.4,0.5,0.92,80,1.1,1,6,43.5,43.5
229,0.6,0.78,80,1.1,1,6,67.9,67.9
1382,3,1.7,60,3.5,1.33,6,10,10
1556,3,1.7,60,3.5,1.22,6,20.75,19.5
707,3,1.7,60,3.5,1.24,6,20.75,22
374,0.18,0.83,85.7,1.6,0.5,6,250,250
374,0.18,0.83,85.7,1.6,10,6,153,153
1602,2.98,0.95,85.7,1.6,1,6,212,212
520,1.5,0.81,90.1,1,0.5,6,142,142
520,1.5,0.81,90.1,1,1,6,127,127
520,1.5,0.81,90.1,1,2,6,123.666667,122
520,1.5,0.81,90.1,1,5,6,113,113
520,1.5,0.81,90.1,1,10,6,103,105
520,1.5,0.81,90.1,1,20,6,103,104
520,1.5,0.81,90.1,1,50,6,103,100
520,1.5,0.84,90,1,0.5,6,142,142
520,1.5,0.84,90,1,1,6,129,129
520,1.5,0.84,90,1,2,6,123.666667,121
520,1.5,0.84,90,1,5,6,110.333333,113
520,1.5,0.84,90,1,10,6,110.333333,110
520,1.5,0.84,90,1,20,6,110.333333,108
520,1.5,0.84,90,1,50,6,100,100
520,1.5,0.84,90.1,1,0.5,6,160,160
520,1.5,0.84,90.1,1,1,6,139,139
520,1.5,0.84,90.1,1,2,6,123.666667,128
520,1.5,0.84,90.1,1,5,6,118,120
520,1.5,0.84,90.1,1,10,6,118,116
520,1.5,0.84,90.1,1,20,6,112,114
520,1.5,0.84,90.1,1,50,6,112,110
520,1.5,0.88,90,1,0.5,6,179,179
520,1.5,0.88,90,1,1,6,158,158
520,1.5,0.88,90,1,2,6,147,147
520,1.5,0.88,90,1,5,6,135.5,138
520,1.5,0.88,90,1,10,6,135.5,133
520,1.5,0.88,90,1,20,6,126.5,128
520,1.5,0.88,90,1,50,6,126.5,125
520,1.5,0.93,90,1,0.1,6,350,350
592,1.5,0.93,90,1,0.5,6,211,211
592,1.5,0.93,90,1,1,6,197,197
592,1.5,0.93,90,1,2,6,186.5,185
592,1.5,0.93,90,1,5,6,173.5,177
592,1.5,0.93,90,1,10,6,173.5,175
592,1.5,0.93,90,1,20,6,173.5,172
592,1.5,0.93,90,1,50,6,173.5,170
